Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2023-06-23,286.9609680175781,287.8952110829365,277.2408910940516,279.78520359910493,51092000
2023-06-26,276.7638854980469,288.0145379819174,275.8992206223273,286.9312197776913,24232700
2023-06-27,285.291259765625,287.57718608230954,278.9304780242329,280.2821612052411,26108300
2023-06-28,283.54205322265625,287.77593182512726,282.31957844224354,283.07493167215046,16722100
2023-06-29,279.8050842285156,284.8142129946825,278.9702344892543,282.7568884601105,15395700
2023-06-30,285.2217102050781,287.2790044495299,282.6773975218588,283.0153107326895,19694900
2023-07-03,284.2675476074219,287.62684323655463,283.1047331700127,284.9434043059661,8629300
2023-07-05,292.56640625,296.2934302050085,284.6054733763103,285.8875781094008,33865500
2023-07-06,290.20098876953125,296.29343555760886,289.5251623594911,294.077118017242,47600500
2023-07-07,288.74993896484375,294.38521256160533,286.89140119517737,290.38982344804356,25586000
2023-07-10,292.298095703125,296.30340323263175,285.2912718878283,293.7391935536377,37058300
2023-07-11,296.4623718261719,298.3407759365932,290.11150909389073,292.09925500111933,27585900
2023-07-12,307.4446716308594,307.55401343328566,298.261294773323,299.90117916494063,36677100
2023-07-13,311.4897766113281,314.30242418130945,308.3888973454291,311.6984814729097,30281000
2023-07-14,306.97760009765625,312.9507875343804,305.4768419103816,309.8797230894306,23054100
2023-07-17,308.7168273925781,309.8001453263646,302.8430343041564,305.6557118882692,25323100
2023-07-18,310.1380920410156,312.27494349335836,305.73524144025225,308.97527748671035,20731900
2023-07-19,314.0738525390625,316.7274767689664,308.6174685170369,311.1120997395896,21763700
2023-07-20,300.6664733886719,313.6067203081429,300.36832359676674,311.57921073138994,23836900
2023-07-21,292.4570617675781,303.5884205252872,289.41581298995766,302.7038893783664,42139300
2023-07-24,289.82330322265625,295.6970965406235,286.53358588004187,293.9677671533127,24915700
2023-07-25,292.66583251953125,296.47235340133284,290.0718077833452,293.38142241255474,19585600
2023-07-26,296.7406921386719,299.9210677894929,290.1115453638224,299.3446347497926,47256900
2023-07-27,309.8001403808594,323.35658248641147,307.94160274749095,323.12798078031614,64229200
2023-07-28,323.48583984375,324.2014297162644,312.32463358608067,314.93852479166225,39220300
2023-07-31,316.6479797363281,323.6647214847441,315.6441581868232,321.7067902397238,25799600
2023-08-01,320.7327880859375,322.15404970775984,312.7321215517065,315.59448100825944,22817900
2023-08-02,312.38427734375,316.43929691061373,308.74669785870555,316.0516718110243,20461100
2023-08-03,311.2711181640625,314.01421762187664,308.03108215696903,308.03108215696903,15180200
2023-08-04,308.8262023925781,316.4591405981147,308.2994508574966,313.0302662363384,17612800
2023-08-07,314.62042236328125,315.12730727959365,308.55779123013735,311.31083874592497,16236500
2023-08-08,310.7245178222656,315.94235188743255,308.2099896220552,312.4737139507315,15183500
2023-08-09,303.3399963378906,311.7084210744375,300.9944704116668,310.96301625931727,19955800
2023-08-10,303.8667297363281,310.4262977842557,302.0081920277115,306.0532625291699,14358900
2023-08-11,299.7918701171875,302.85298565091904,298.5196835435255,300.7161647396788,14046300
2023-08-14,304.31396484375,304.33383138398744,296.42261109428927,299.1358952011911,15641900
2023-08-15,300.1000061035156,305.3476550580953,298.19175633339523,304.2643369775201,11623600
2023-08-16,292.4869384765625,299.23531534249935,292.4769900392472,298.36073244619973,18547700
2023-08-17,283.3432922363281,294.2361334501716,283.20416576746555,291.2545140049859,23950100
2023-08-18,281.5145568847656,283.93960968649634,272.6989072996462,277.3204111700281,35347900
2023-08-21,288.123779296875,288.720109168506,280.1231137051673,281.7133165859842,20181500
2023-08-22,285.8379211425781,291.1054366525672,284.9931229074211,290.75757498743184,12980200
2023-08-23,292.4372253417969,295.577868128935,285.907501811139,286.7324031784581,18287000
2023-08-24,284.99310302734375,297.6252212635556,284.88379154825276,296.67111160823754,18360900
2023-08-25,283.7507629394531,286.62307068516355,274.3387837050851,284.3769078296585,23701400
2023-08-28,288.48162841796875,289.66433988550926,284.0489323586986,286.2354654072445,14239300
2023-08-29,296.16424560546875,297.3171420810114,286.41435258373576,286.81189577136405,20844500
2023-08-30,293.29193115234375,296.4623884789103,291.63214988111343,295.34925556123125,17717000
2023-08-31,294.07708740234375,299.2551570790812,293.8484857004232,293.9876121441952,17229900
2023-09-01,294.56414794921875,299.89129381632125,292.665846471251,297.53581915258957,12842300
2023-09-05,298.31097412109375,299.54339726274833,293.699419184796,295.2001467861527,14956000
2023-09-06,297.3370361328125,301.44170666109693,293.848531758492,299.8614520321195,15418100
2023-09-07,296.8400573730469,305.1686874983564,290.4295644962477,296.17414912853707,33748700
2023-09-08,296.0648498535156,303.37974075580405,294.961635024311,297.38668763075606,17548000
2023-09-11,305.67559814453125,307.1465412031133,299.43407649527063,299.56328484691215,19489300
2023-09-12,299.811767578125,306.7688793846926,298.3905363026989,304.45313804108457,13480400
2023-09-13,303.19091796875,305.29792403579717,299.4738423723781,300.5074485328093,13210900
2023-09-14,309.81011962890625,310.95306761186254,303.1611062560932,304.86062074084737,19343100
2023-09-15,298.47003173828125,310.088410840117,296.9195921105287,309.7007857678787,28131100
2023-09-18,300.6962585449219,301.73984337428624,295.97536188084484,296.36298690247634,14234200
2023-09-19,303.20086669921875,304.29413314938773,297.9730846115194,300.6267390709932,15924400
2023-09-20,297.8339538574219,306.17253307631813,297.59540369771673,303.1809654536814,19379500
2023-09-21,293.9180603027344,298.4203035818118,291.47311099206513,293.88824532726744,21319600
2023-09-22,297.24755859375,303.5089774314611,296.44252379513864,297.4662118927926,25369600
2023-09-25,298.9867858886719,299.10607612024654,291.9004972403228,293.82861318774314,18987000
2023-09-26,297.1283264160156,298.4601128779538,294.196418644414,295.83630337505264,19417200
2023-09-27,295.915771484375,299.4539573464908,285.0328790760572,298.6091894634208,36429800
2023-09-28,302.0976257324219,304.4530998672657,294.88212844541874,297.1083942385881,22167100
2023-09-29,298.37066650390625,308.73678708760275,297.52586821318613,305.49675073216946,25373700
2023-10-02,304.94012451171875,305.2979042369889,299.7819211582257,300.8851056417394,16265600
2023-10-03,299.09613037109375,304.8903963700767,297.804107658087,302.395795870601,17362300
2023-10-04,303.70770263671875,305.01962229611473,296.67109503462666,296.89969674713575,16880500
2023-10-05,302.9225769042969,304.3338596571605,297.6649799511563,302.76355357583645,19130000
2023-10-06,313.4974060058594,314.37201924632495,299.0663785299829,299.5931300956358,21803900
2023-10-09,316.409423828125,318.36735503764885,309.9095156276792,310.58534205264175,22503700
2023-10-10,319.8680725097656,322.670801559993,316.21062726540146,317.16473682249733,19038000
